column,parsed_rows,missing,missing_pct,distinct_raw_values,non_numeric,inf,neg,neg1_sentinel,finite_n,min,mean,std,max
Bwd Blk Rate Avg,16137183,0,0.0,,0,0,0,,16137183,0.0,0.0,0.0,0.0
Subflow Fwd Pkts,16137183,0,0.0,,0,0,1226,,16137183,-32748.0,5.475,213.3329,32762.0
Subflow Fwd Byts,16137183,0,0.0,,0,0,0,,16137183,0.0,978.7339,62353.199,144391846.0
Subflow Bwd Pkts,16137183,0,0.0,,0,0,17,,16137183,-32170.0,6.2485,151.2846,31262.0
Subflow Bwd Byts,16137183,0,0.0,,0,0,0,,16137183,0.0,4758.9824,235149.8901,156360426.0
Init Fwd Win Byts,16137183,0,0.0,,0,0,4432594,4432594,16137183,-1.0,8829.2606,16265.7797,65535.0
Init Bwd Win Byts,16137183,0,0.0,,0,0,8161353,8161353,16137183,-1.0,8740.582,20669.4501,65535.0
Fwd Act Data Pkts,16137183,0,0.0,,0,0,1220,,16137183,-32749.0,1.8517,205.4973,32761.0
Fwd Seg Size Min,16137183,0,0.0,,0,0,0,,16137183,0.0,17.9808,7.7151,56.0
Active Mean,16137183,0,0.0,,0,0,0,,16137183,0.0,173903.4598,2513315.3889,114000000.0
Active Std,16137183,0,0.0,,0,0,0,,16137183,0.0,86953.9203,1519047.8103,75232413.85230836
Active Max,16137183,0,0.0,,0,0,0,,16137183,0.0,263949.1015,1391865.9847,114000000.0
Active Min,16137183,0,0.0,,0,0,0,,16137183,0.0,116150.8462,2120389.578,114000000.0
Idle Mean,16137183,0,0.0,,0,0,0,,16137183,0.0,5046729.306,264097621.809,395571421052.631
Idle Std,16137183,0,0.0,,0,0,0,,16137183,0.0,288350.1475,169689949.5723,262247866338.599
Idle Max,16137183,0,0.0,,0,0,0,,16137183,0.0,5460355.5163,0.0,979781000000.0
Idle Min,16137183,0,0.0,,0,0,0,,16137183,0.0,4713435.7621,0.0,239934000000.0
Label,16137183,0,0.0,15,,,,,,,,,
Day,16137183,0,0.0,,0,0,0,,16137183,1.0,18.1667,5.766,28.0
Hour,16137183,0,0.0,,0,0,0,,16137183,1.0,6.2694,4.0636,12.0
Minute,16137183,0,0.0,,0,0,0,,16137183,0.0,30.3491,16.779,59.0
Second,16137183,0,0.0,,0,0,0,,16137183,0.0,29.4064,17.2692,59.0
