class,feature,modal_value,modal_share,benign_share,separability,n_rows
Bot,Fwd PSH Flags,0.0,0.9999792437817829,0.9513374146418434,0.048661575306915894,144535
DDOS attack-HOIC,Fwd PSH Flags,0.0,1.0,0.9513374146418434,0.048662585358156596,198861
DDoS attacks-LOIC-HTTP,Fwd PSH Flags,0.0,1.0,0.9513374146418434,0.048662585358156596,575132
DoS attacks-Hulk,Fwd PSH Flags,0.0,1.0,0.9513374146418434,0.048662585358156596,145199
SSH-Bruteforce,Fwd PSH Flags,0.0,1.0,0.9513374146418434,0.048662585358156596,94048
Benign,Idle Mean,0.0,0.8073341827619378,0.8073341827619378,0.15554570010605182,10564749
Bot,Idle Mean,0.0,0.9984017711972879,0.8073341827619378,0.19235789317965427,144535
DDOS attack-HOIC,Idle Mean,0.0,1.0,0.8073341827619378,0.1926658172380622,198861
DDoS attacks-LOIC-HTTP,Idle Mean,0.0,0.5628794781024182,0.8073341827619378,0.10844763465513635,575132
DoS attacks-Hulk,Idle Mean,0.0,0.9866114780404823,0.8073341827619378,0.190086306713122,145199
SSH-Bruteforce,Idle Mean,0.0,1.0,0.8073341827619378,0.1926658172380622,94048
Benign,Active Mean,0.0,0.8502435789056607,0.8502435789056607,0.12732943543535422,10564749
Bot,Active Mean,0.0,0.9984017711972879,0.8502435789056607,0.14951707606875522,144535
DDOS attack-HOIC,Active Mean,0.0,1.0,0.8502435789056607,0.1497564210943393,198861
DDoS attacks-LOIC-HTTP,Active Mean,0.0,0.9999878288810221,0.8502435789056607,0.14975459839112046,575132
DoS attacks-Hulk,Active Mean,0.0,0.9887395918704674,0.8502435789056607,0.14807010267279888,145199
SSH-Bruteforce,Active Mean,0.0,1.0,0.8502435789056607,0.1497564210943393,94048
Benign,Init Fwd Win Byts,8192.0,0.44028372089105006,0.44028372089105006,0.246433966009382,10564749
Bot,Init Fwd Win Byts,8192.0,0.9894558411457433,0.44028372089105006,0.5538145417487117,144535
DDOS attack-HOIC,Init Fwd Win Byts,65535.0,0.8234394878834965,0.035915950298487924,0.7938648761628605,198861
DDoS attacks-LOIC-HTTP,Init Fwd Win Byts,8192.0,0.502995833999847,0.44028372089105006,0.28153495661369743,575132
DoS attacks-Hulk,Init Fwd Win Byts,225.0,0.894055744185566,1.2683689882267909e-05,0.8940444042597693,145199
SSH-Bruteforce,Init Fwd Win Byts,26883.0,0.9976288703640694,0.00037511539554796805,0.9972546444157527,94048
Benign,Init Bwd Win Byts,-1.0,0.3707975456870769,0.3707975456870769,0.23330672579951703,10564749
Bot,Init Bwd Win Byts,219.0,0.9538174144670841,0.0004383445361550946,0.9533993138149629,144535
DDOS attack-HOIC,Init Bwd Win Byts,219.0,0.8221823283600103,0.0004383445361550946,0.8218219292286504,198861
DDoS attacks-LOIC-HTTP,Init Bwd Win Byts,211.0,0.502995833999847,0.03908185608574326,0.48333782320373664,575132
DoS attacks-Hulk,Init Bwd Win Byts,-1.0,0.8240483749888085,0.3707975456870769,0.5184932600155343,145199
SSH-Bruteforce,Init Bwd Win Byts,230.0,0.9995853181354202,0.00025443103286221,0.9993309926104932,94048
